Country,Count_median
Argentina,1700.0
Bahamas,200.0
Barbados,100.0
Belize,200.0
Bolivia (Plurinational State of),670.0
Brazil,15000.0
Canada,
Chile,590.0
Colombia,
Congo,4000.0
Costa Rica,500.0
Cuba,500.0
Dominican Republic,1200.0
Ecuador,620.0
El Salvador,700.0
Guatemala,2200.0
Guyana,200.0
Haiti,2700.0
Honduras,780.0
Jamaica,1500.0
Mexico,
Nicaragua,200.0
Panama,500.0
Paraguay,720.0
Peru,1000.0
Suriname,100.0
Trinidad and Tobago,
United States of America,
Uruguay,200.0
Venezuela (Bolivarian Republic of),
