Country,Count_median
Afghanistan,500.0
Australia,200.0
Bahrain,
Bangladesh,580.0
Bhutan,100.0
Brunei Darussalam,
Cambodia,1300.0
China,
Democratic People's Republic of Korea,
Djibouti,500.0
Egypt,500.0
Fiji,
India,
Indonesia,38000.0
Iran (Islamic Republic of),2600.0
Japan,
Jordan,100.0
Kuwait,100.0
Lao People's Democratic Republic,500.0
Lebanon,100.0
Libya,200.0
Malaysia,2600.0
Maldives,
Mongolia,100.0
Morocco,500.0
Myanmar,7800.0
Nepal,910.0
New Zealand,100.0
Oman,100.0
Pakistan,6400.0
Papua New Guinea,
Philippines,1200.0
Qatar,
Republic of Korea,
Saudi Arabia,
Singapore,100.0
Somalia,710.0
Sri Lanka,200.0
Sudan,2900.0
Syrian Arab Republic,100.0
Thailand,18000.0
Timor-Leste,
Tunisia,100.0
United Arab Emirates,
Viet Nam,4700.0
Yemen,500.0
