Country,Count_median
Afghanistan,500.0
Australia,500.0
Bahrain,150.0
Bangladesh,500.0
Bhutan,100.0
Brunei Darussalam,200.0
Cambodia,2500.0
China,26000.0
Democratic People's Republic of Korea,
Djibouti,630.0
Egypt,200.0
Fiji,
India,160000.0
Indonesia,24000.0
Iran (Islamic Republic of),2400.0
Japan,120.0
Jordan,100.0
Kuwait,100.0
Lao People's Democratic Republic,500.0
Lebanon,100.0
Libya,100.0
Malaysia,2900.0
Maldives,100.0
Mongolia,100.0
Morocco,550.0
Myanmar,11000.0
Nepal,1400.0
New Zealand,100.0
Oman,100.0
Pakistan,1400.0
Papua New Guinea,1180.0
Philippines,500.0
Qatar,100.0
Republic of Korea,500.0
Saudi Arabia,500.0
Singapore,100.0
Somalia,1400.0
Sri Lanka,500.0
Sudan,1900.0
Syrian Arab Republic,100.0
Thailand,27000.0
Timor-Leste,100.0
Tunisia,100.0
United Arab Emirates,
Viet Nam,8500.0
Yemen,200.0
Kazakhstan,500.0
Kyrgyzstan,430.0
Uzbekistan,1000.0
Turkmenistan,100.0
Tajikistan,500.0
Turkey,200.0
Georgia,120.0
Armenia,140.0
Azerbaijan,600.0
Djibouti,1000.0
