Country,Count_median
Armenia,200.0
Belarus,500.0
Bosnia and Herzegovina,100.0
Bulgaria,100.0
Croatia,100.0
Czechia,100.0
Denmark,100.0
Estonia,100.0
Finland,100.0
France,500.0
Georgia,500.0
Germany,500.0
Hungary,100.0
Iceland,100.0
Ireland,100.0
Israel,100.0
Italy,710.0
Kazakhstan,500.0
Kyrgyzstan,200.0
Latvia,100.0
Luxembourg,100.0
Montenegro,100.0
Norway,100.0
Portugal,500.0
Republic of Moldova,570.0
Republic of North Macedonia,100.0
Romania,200.0
Serbia,100.0
Slovakia,100.0
Slovenia,100.0
Tajikistan,500.0
Ukraine,6100.0
Uzbekistan,1300.0
