Country,Count_median
Armenia,3500.0
Belarus,27000.0
Bosnia and Herzegovina,500.0
Bulgaria,3500.0
Croatia,1600.0
Czechia,4400.0
Denmark,6200.0
Estonia,7400.0
Finland,4000.0
France,180000.0
Georgia,9400.0
Germany,87000.0
Hungary,3700.0
Iceland,500.0
Ireland,7200.0
Israel,9000.0
Italy,130000.0
Kazakhstan,26000.0
Kyrgyzstan,8500.0
Latvia,5300.0
Luxembourg,1200.0
Montenegro,500.0
Norway,5800.0
Portugal,41000.0
Republic of Moldova,17000.0
Republic of North Macedonia,500.0
Romania,18000.0
Serbia,3000.0
Slovakia,1200.0
Spain,150000.0
Tajikistan,13000.0
Ukraine,240000.0
Uzbekistan,52000.0
