Country,Count_median
Afghanistan,1600.0
Australia,13000.0
Bahrain,
Bangladesh,940.0
Bhutan,530.0
Brunei Darussalam,
Cambodia,81000.0
China,
Democratic People's Republic of Korea,
Djibouti,9400.0
Egypt,1500.0
Fiji,
India,
Indonesia,80000.0
Iran (Islamic Republic of),16000.0
Japan,6200.0
Jordan,100.0
Kuwait,200.0
Lao People's Democratic Republic,2200.0
Lebanon,910.0
Libya,950.0
Malaysia,55000.0
Maldives,
Mongolia,100.0
Morocco,9700.0
Myanmar,150000.0
Nepal,16000.0
New Zealand,1300.0
Oman,1300.0
Pakistan,500.0
Papua New Guinea,20000.0
Philippines,1000.0
Qatar,
Republic of Korea,
Saudi Arabia,
Singapore,2900.0
Somalia,16000.0
Sri Lanka,2200.0
Sudan,15000.0
Syrian Arab Republic,500.0
Thailand,740000.0
Timor-Leste,
Tunisia,500.0
United Arab Emirates,
Viet Nam,120000.0
Yemen,1100.0
