Country,Count_median
Argentina,64000.0
Bahamas,5100.0
Barbados,1100.0
Belize,1700.0
Bolivia (Plurinational State of),21000.0
Brazil,410000.0
Canada,
Chile,14000.0
Colombia,110000.0
Congo,80000.0
Costa Rica,4300.0
Cuba,4100.0
Dominican Republic,85000.0
Ecuador,26000.0
El Salvador,18000.0
Guatemala,44000.0
Guyana,2300.0
Haiti,150000.0
Honduras,40000.0
Jamaica,41000.0
Mexico,130000.0
Nicaragua,3600.0
Panama,11000.0
Paraguay,14000.0
Peru,71000.0
Suriname,3100.0
Trinidad and Tobago,
United States of America,
Uruguay,6000.0
Venezuela (Bolivarian Republic of),
